,time_zone,name,coordinates,code,country_code
213,America/Campo_Grande,Ponta Pora,"{'lon': -55.7, 'lat': -22.55}",PMG,BR
214,Europe/Minsk,Brest,"{'lon': 23.883333, 'lat': 52.11667}",BQT,BY
215,Australia/Melbourne,Welshpool,"{'lon': 146.45, 'lat': -38.68889}",WHL,AU
216,Europe/Oslo,Holmestrand,"{'lon': 23.066668, 'lat': -19.05}",XUG,NO
217,Africa/Luanda,Andulo,"{'lon': 17.25, 'lat': -11.25}",ANL,AO
218,Asia/Bangkok,Phuket,"{'lon': 98.306435, 'lat': 8.107619}",HKT,TH
219,Pacific/Majuro,Woja,"{'lon': 168.55296, 'lat': 7.453653}",WJA,MH
220,Australia/Perth,Wyndham,"{'lon': 128.1375, 'lat': -15.507222}",WYN,AU
221,America/Guyana,Paramakotoi,"{'lon': -57.183334, 'lat': 7.566667}",PMT,GY
222,America/Nassau,Nassau,"{'lon': -77.345, 'lat': 25.06}",NAS,BS
223,America/Chicago,Muskogee,"{'lon': -95.36667, 'lat': 35.660557}",MKO,US
224,Europe/London,Bristol,"{'lon': -2.710659, 'lat': 51.386757}",BRS,GB
225,Asia/Shanghai,Peng Lai,"{'lon': 120.812775, 'lat': 37.808887}",PNJ,CN
226,America/Vancouver,Blubber Bay,"{'lon': -123.0, 'lat': 50.0}",XBB,CA
227,America/Boise,Challis,"{'lon': -114.25, 'lat': 44.5}",CHL,US
228,Asia/Tehran,Abu Musa,"{'lon': 55.041668, 'lat': 25.8875}",AEU,IR
229,America/Port-au-Prince,Port Au Prince,"{'lon': -72.29471, 'lat': 18.575394}",PAP,HT
230,Europe/Oslo,Hamar,"{'lon': 11.116667, 'lat': 60.8}",HMR,NO
231,Asia/Jayapura,Ambon,"{'lon': 128.08888, 'lat': -3.704996}",AMQ,ID
232,Asia/Rangoon,Pauk,"{'lon': 94.51667, 'lat': 21.45}",PAU,MM
233,Europe/Oslo,Aalesund,"{'lon': 6.116605, 'lat': 62.559643}",AES,NO
234,America/Los_Angeles,Brawley,"{'lon': -115.51667, 'lat': 32.983334}",BWC,US
235,Africa/Ouagadougou,Djibo,"{'lon': -1.633333, 'lat': 14.1}",XDJ,BF
236,America/New_York,Bardstown,"{'lon': -85.46667, 'lat': 37.816666}",BRY,US
237,Europe/Copenhagen,Aalborg,"{'lon': 9.917771, 'lat': 57.028811}",AAL,DK
238,America/Chicago,Omaha,"{'lon': -95.9979883, 'lat': 41.2523634}",OMA,US
239,Europe/Stockholm,Hemavan,"{'lon': 15.273056, 'lat': 65.727776}",HMV,SE
240,Pacific/Guadalcanal,Afutara,"{'lon': 160.85, 'lat': -9.2}",AFT,SB
241,America/Los_Angeles,Mammoth Lakes,"{'lon': -118.85139, 'lat': 37.63111}",MMH,US
242,Pacific/Apia,Apia,"{'lon': -171.7666667, 'lat': -13.8333333}",APW,WS
243,Africa/Luanda,Benguela,"{'lon': 13.405556, 'lat': -12.606389}",BUG,AO
244,America/Fortaleza,Balsas,"{'lon': -46.05, 'lat': -7.516667}",BSS,BR
245,America/Godthab,Tasiilaq,"{'lon': -37.683334, 'lat': 65.6}",AGM,GL
246,Asia/Makassar,Masamba,"{'lon': 120.333336, 'lat': -2.333333}",MXB,ID
247,America/Godthab,Tasiuasaq,"{'lon': -44.63333, 'lat': 60.266666}",XEQ,GL
248,Pacific/Honolulu,Honolulu,"{'lon': -157.8583333, 'lat': 21.3069444}",HNL,US
249,America/Detroit,Battle Creek,"{'lon': -85.26481, 'lat': 42.37278}",BTL,US
250,Atlantic/Cape_Verde,Boa Vista,"{'lon': -22.833332, 'lat': 16.083332}",BVC,CV
251,Africa/Dakar,Podor,"{'lon': -14.966667, 'lat': 16.666668}",POD,SN
252,Asia/Shanghai,Nanchang,"{'lon': 115.907845, 'lat': 28.859901}",KHN,CN
253,America/Santiago,Balmaceda,"{'lon': -71.695, 'lat': -45.916668}",BBA,CL
254,America/Anchorage,Beluga,"{'lon': -151.03612, 'lat': 61.169445}",BVU,US
255,America/Chicago,Bowling Green,"{'lon': -86.42222, 'lat': 36.962223}",BWG,US
256,Africa/Luanda,Xangongo,"{'lon': 14.972222, 'lat': -16.75}",XGN,AO
257,America/Denver,Clayton,"{'lon': -103.183334, 'lat': 36.45}",CAO,US
258,Africa/Cairo,Hurghada,"{'lon': 33.8055, 'lat': 27.189156}",HRG,EG
259,Pacific/Rarotonga,Atiu Island,"{'lon': -158.1, 'lat': -20.033333}",AIU,CK
260,Europe/Rome,Verona,"{'lon': 10.9917623, 'lat': 45.4383278}",VRN,IT
261,Asia/Ho_Chi_Minh,Long Xuyen,"{'lon': 105.46667, 'lat': 10.333333}",XLO,VN
262,America/La_Paz,Yacuiba,"{'lon': -63.65, 'lat': -21.95}",BYC,BO
